image,message,psnr,ssim,capacity,pixels_modified_ratio,bits_modified_ratio,length,method
pixel_flowers.png,msg1.txt,56.941202071167794,0.9991419140278568,0.59375,0.19921875,0.016438802083333332,19,lsb
yak.png,msg1.txt,87.35583388903989,0.9999997218084623,0.0005562060889929743,0.00018662177985948478,1.4941939890710383e-05,19,lsb
yak.png,msg2.txt,70.47381567984365,0.9999608660630788,0.03384074941451991,0.01128146955503513,0.0007288007416081187,1156,lsb
yak.png,msg3.txt,56.572338593223165,0.9980959012744309,0.8590163934426229,0.2863400175644028,0.017896022394613582,29344,lsb
snake.png,msg1.txt,88.10863760085726,0.9999996607560616,0.000462962962962963,0.00015533625730994153,1.2563961988304094e-05,19,lsb
snake.png,msg2.txt,71.39700271017102,0.9999249154243935,0.028167641325536064,0.009390229044834308,0.0005892371263807667,1156,lsb
snake.png,msg3.txt,57.57405033880464,0.9933629778401221,0.715009746588694,0.23833759746588695,0.014209714100064977,29344,lsb
yellow_flowers.png,msg1.txt,94.15894990929453,0.9999999911423245,0.00012369791666666668,4.150390625e-05,3.119574652777778e-06,19,lsb
yellow_flowers.png,msg2.txt,77.1796476058035,0.9999983944724421,0.007526041666666667,0.002508951822916667,0.00015560574001736112,1156,lsb
yellow_flowers.png,msg3.txt,63.13438913349496,0.999864084827423,0.19104166666666667,0.06368082682291666,0.0039495849609375,29344,lsb
pixel_flowers.png,msg1.txt,55.025419284901886,0.9999414864757328,0.59375,0.19921875,0.015462239583333334,19,lsbadapt
yak.png,msg1.txt,83.32357783770269,0.999998949741895,0.0005562060889929743,0.00018662177985948478,1.3874658469945356e-05,19,lsbadapt
yak.png,msg2.txt,66.86682022815027,0.999867142481237,0.03384074941451991,0.01128146955503513,0.0007214822404371584,1156,lsbadapt
yak.png,msg3.txt,52.98937271235105,0.9980804686434147,0.8590163934426229,0.16786446135831382,0.017897699551131928,29344,lsbadapt
snake.png,msg1.txt,84.2628771297167,0.9999986839077238,0.000462962962962963,0.00015533625730994153,1.0660331384015595e-05,19,lsbadapt
snake.png,msg2.txt,67.54382404133278,0.9999789962175564,0.028167641325536064,0.009390229044834308,0.0005936789311241066,1156,lsbadapt
snake.png,msg3.txt,53.58961081825831,0.9991188914014492,0.715009746588694,0.0297270955165692,0.014911899975633528,29344,lsbadapt
yellow_flowers.png,msg1.txt,88.88321124440736,0.9999999722683395,0.00012369791666666668,4.150390625e-05,3.5264756944444443e-06,19,lsbadapt
yellow_flowers.png,msg2.txt,73.4074489923639,0.9999979544559215,0.007526041666666667,0.002508951822916667,0.0001553005642361111,1156,lsbadapt
yellow_flowers.png,msg3.txt,59.341097483382406,0.999788059699612,0.19104166666666667,0.06368082682291666,0.0039646402994791665,29344,lsbadapt
pixel_flowers.png,msg1.txt,57.07215505206928,0.9999666374296149,0.59375,0.19921875,0.015950520833333332,19,lsbopt
yak.png,msg1.txt,87.44538231556916,0.9999997205260621,0.0005562060889929743,0.00018662177985948478,1.4637002341920375e-05,19,lsbopt
yak.png,msg2.txt,70.5176472864059,0.9999302915617768,0.03384074941451991,0.01128146955503513,0.0007214822404371584,1156,lsbopt
yak.png,msg3.txt,56.55774789542332,0.9985077814605989,0.8590163934426229,0.2863400175644028,0.01795624756049961,29344,lsbopt
snake.png,msg1.txt,88.28775349394428,0.9999987320498157,0.000462962962962963,0.00015533625730994153,1.2056327160493826e-05,19,lsbopt
snake.png,msg2.txt,71.48296701296262,0.9999841931573724,0.028167641325536064,0.009390229044834308,0.0005776884340480832,1156,lsbopt
snake.png,msg3.txt,57.386324353204394,0.9995923451735016,0.715009746588694,0.23833759746588695,0.014837404564652372,29344,lsbopt
yellow_flowers.png,msg1.txt,94.55403532213127,0.9999999930194688,0.00012369791666666668,4.150390625e-05,2.848307291666667e-06,19,lsbopt
yellow_flowers.png,msg2.txt,77.1862773342163,0.9999985715828311,0.007526041666666667,0.002508951822916667,0.0001553683810763889,1156,lsbopt
yellow_flowers.png,msg3.txt,63.1371118310055,0.9998945178251563,0.19104166666666667,0.06368082682291666,0.0039471096462673615,29344,lsbopt
